Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Micro-synchrophasor based special protection scheme for distribution system automation in a smart city","Protection and Control of Modern Power Systems","","5","1","10.1186/s41601-020-0153-1","Deepa S. KumarSavier J.S.Biju S. S.","2020","http://link.springer.com/article/10.1186/s41601-020-0153-1","Article"
"Ecosystems for smart cities: tracing the evolution of governance structures in a dutch smart city initiative","International Entrepreneurship and Management Journal","","","","10.1007/s11365-020-00640-7","Ward OomsMarjolein C. J. CaniëlsNadine RoijakkersDieudonnee Cobben","2020","http://link.springer.com/article/10.1007/s11365-020-00640-7","Article"
"Real Option Approach on Infrastructure Investment in Vietnam: Focused on Smart City Project","Global Journal of Flexible Systems Management","","16","4","10.1007/s40171-015-0114-0","Nguyen Thu HaTakao Fujiwara","2015","http://link.springer.com/article/10.1007/s40171-015-0114-0","Article"
"Repeatable determinism using non-random weight initialisations in smart city applications of deep learning","Journal of Reliable Intelligent Environments","","","","10.1007/s40860-019-00097-8","Richard N. M. Rudd-OrthnerLyudmila Mihaylova","2020","http://link.springer.com/article/10.1007/s40860-019-00097-8","Article"
"Anonymous identity-based broadcast encryption technology for smart city information system","Personal and Ubiquitous Computing","","21","5","10.1007/s00779-017-1053-x","Kai HeJian WengYijun MaoHuaqiang Yuan","2017","http://link.springer.com/article/10.1007/s00779-017-1053-x","Article"
"On Smart City and Safe City Concepts","Mobile Networks and Applications","","","","10.1007/s11036-020-01524-4","Jozef RistvejMaroš LacinákRoman Ondrejka","2020","http://link.springer.com/article/10.1007/s11036-020-01524-4","Article"
"Guest editorial: Security and privacy of P2P networks in emerging smart city","Peer-to-Peer Networking and Applications","","8","6","10.1007/s12083-015-0393-4","Hongwei LiHaojin ZhuBong Jun (David) Choi","2015","http://link.springer.com/article/10.1007/s12083-015-0393-4","Article"
"Multi-level cache system of small spatio-temporal data files based on cloud storage in Smart City","Wuhan University Journal of Natural Sciences","","22","5","10.1007/s11859-017-1263-0","Xiaolin XuZhihua HuXiaojun Liu","2017","http://link.springer.com/article/10.1007/s11859-017-1263-0","Article"
"A fuzzy control model based on BP neural network arithmetic for optimal control of smart city facilities","Personal and Ubiquitous Computing","","23","3 - 4","10.1007/s00779-019-01209-0","Xiaotang XiaTingyang Li","2019","http://link.springer.com/article/10.1007/s00779-019-01209-0","Article"
"Energy Saving in Smart City Wireless Backbone Network for Environment Sensors","Mobile Networks and Applications","","24","2","10.1007/s11036-016-0786-5","Domingo MarreroElsa MacíasÁlvaro SuárezJosé Aurelio SantanaVicente Mena","2019","http://link.springer.com/article/10.1007/s11036-016-0786-5","Article"
"Secure public data auditing scheme for cloud storage in smart city","Personal and Ubiquitous Computing","","21","5","10.1007/s00779-017-1048-7","Libing WuJing WangNeeraj KumarDebiao He","2017","http://link.springer.com/article/10.1007/s00779-017-1048-7","Article"
"Influential spatial facility prediction over large scale cyber-physical vehicles in smart city","EURASIP Journal on Wireless Communications and Networking","","2016","1","10.1186/s13638-016-0606-4","Hongtao WangQiang LiFeng YiZhi LiLimin Sun","2016","http://link.springer.com/article/10.1186/s13638-016-0606-4","Article"
"Resource oriented topology construction to ensure high reliability in IoT based smart city networks","International Journal of System Assurance Engineering and Management","","","","10.1007/s13198-019-00861-2","Khadak Singh BhandariGi Hwan Cho","2019","http://link.springer.com/article/10.1007/s13198-019-00861-2","Article"
