Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The Planning of Smart City to Mitigate the Impacts of Natural Disaster in North Sumatera","Information Technology in Disaster Risk Reduction","","","","10.1007/978-3-319-68486-4_12","Dedy HartamaHerman MawengkangMuhammad ZarlisRahmat Widia SembiringBenny Benyamin NasutionM. SyahruddinPrayudi NastiaAbidin Lutfhi SembiringSaifullahEka IrawanSumarno","2017","http://link.springer.com/chapter/10.1007/978-3-319-68486-4_12","Chapter"
"A Unified Definition of a Smart City","Electronic Government","","","","10.1007/978-3-319-64677-0_2","Arkalgud RamaprasadAurora Sánchez-OrtizThant Syn","2017","http://link.springer.com/chapter/10.1007/978-3-319-64677-0_2","Chapter"
"Providing Interoperability for Autonomic Control of Connected Devices","Interoperability, Safety and Security in IoT","","","","10.1007/978-3-319-52727-7_5","François AïssaouiGuillaume GarzoneNicolas Seydoux","2017","http://link.springer.com/chapter/10.1007/978-3-319-52727-7_5","Chapter"
"Energy Efficient Manycast Routing, Modulation Level and Spectrum Assignment in Elastic Optical Networks for Smart City Applications","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-65482-9_48","Xiao LuoXue ChenLei Wang","2017","http://link.springer.com/chapter/10.1007/978-3-319-65482-9_48","Chapter"
"How Smart is the Smart City? Assessing the Impact of ICT on Cities","Agent Based Modelling of Urban Systems","","","","10.1007/978-3-319-51957-9_11","Michal Gath-MoradDavide SchaumannEinat ZingerPnina O. PlautYehuda E. Kalay","2017","http://link.springer.com/chapter/10.1007/978-3-319-51957-9_11","Chapter"
"Exploring On-Demand Composition of Pervasive Collaborations in Smart Computing Environments","On the Move to Meaningful Internet Systems: OTM 2016 Workshops","","","","10.1007/978-3-319-55961-2_31","Markus Wutzler","2017","http://link.springer.com/chapter/10.1007/978-3-319-55961-2_31","Chapter"
"Spatial Edge Services - From Coordination Model to Actual Applications","Coordination Models and Languages","","","","10.1007/978-3-319-59746-1_1","Giovanna Di Marzo Serugendo","2017","http://link.springer.com/chapter/10.1007/978-3-319-59746-1_1","Chapter"
"Smart City Environmental Perception from Ambient Cellular Signals","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-65482-9_55","Isha SinghStephan Sigg","2017","http://link.springer.com/chapter/10.1007/978-3-319-65482-9_55","Chapter"
"DeMOCAS: Domain Objects for Service-Based Collective Adaptive Systems","Service-Oriented Computing – ICSOC 2016 Workshops","","","","10.1007/978-3-319-68136-8_19","Antonio BucchiaroneMartina De SanctisAnnapaola MarconiAlberto Martinelli","2017","http://link.springer.com/chapter/10.1007/978-3-319-68136-8_19","Chapter"
"An Architecture for Interoperable IoT Ecosystems","Interoperability and Open-Source Solutions for the Internet of Things","","","","10.1007/978-3-319-56877-5_3","Stefan SchmidArne BröringDenis KramerSebastian KäbischAchille ZappaMartin LorenzYong WangAndreas RauschLuca Gioppo","2017","http://link.springer.com/chapter/10.1007/978-3-319-56877-5_3","Chapter"
"Smart Is a Matter of Context","Modeling and Using Context","","","","10.1007/978-3-319-57837-8_15","Julien NigonNicolas VerstaevelJérémy BoesFrédéric MigeonMarie-Pierre Gleizes","2017","http://link.springer.com/chapter/10.1007/978-3-319-57837-8_15","Chapter"
"On Evaluating IoTivity Cloud Platform","Computational Science and Its Applications – ICCSA 2017","","","","10.1007/978-3-319-62404-4_10","Thien-Binh DangManh-Hung TranDuc-Tai LeHyunseung Choo","2017","http://link.springer.com/chapter/10.1007/978-3-319-62404-4_10","Chapter"
"A People-Oriented Paradigm for Smart Cities","Web Engineering","","","","10.1007/978-3-319-60131-1_46","Alejandro Pérez-VeredaCarlos Canal","2017","http://link.springer.com/chapter/10.1007/978-3-319-60131-1_46","Chapter"
"Big Data in the Public Sector. Linking Cities to Sensors","Electronic Government","","","","10.1007/978-3-319-64677-0_23","Marianne FraefelStephan HallerAdrian Gschwend","2017","http://link.springer.com/chapter/10.1007/978-3-319-64677-0_23","Chapter"
"A Collaborative Unified Computing Platform for Building Information Modelling (BIM)","Collaboration in a Data-Rich World","","","","10.1007/978-3-319-65151-4_6","Steven ArthurHaijiang LiRobert Lark","2017","http://link.springer.com/chapter/10.1007/978-3-319-65151-4_6","Chapter"
"Multi-purpose Adaptation in the Web of Things","Modeling and Using Context","","","","10.1007/978-3-319-57837-8_17","Mehdi TerdjimiLionel MédiniMichael MrissaMaria Maleshkova","2017","http://link.springer.com/chapter/10.1007/978-3-319-57837-8_17","Chapter"
"Do Car Drivers Really Need Mobile Parking Payment?","Design, User Experience, and Usability: Designing Pleasurable Experiences","","","","10.1007/978-3-319-58637-3_19","Aylin IlhanKaja J. FietkiewiczWolfgang G. Stock","2017","http://link.springer.com/chapter/10.1007/978-3-319-58637-3_19","Chapter"
"Attribute-Based Access Control Scheme in Federated IoT Platforms","Interoperability and Open-Source Solutions for the Internet of Things","","","","10.1007/978-3-319-56877-5_8","Savio SciancaleporeMichał PilcSvenja SchröderGiuseppe BianchiGennaro BoggiaMarek PawłowskiGiuseppe PiroMarcin PłóciennikHannes Weisgrab","2017","http://link.springer.com/chapter/10.1007/978-3-319-56877-5_8","Chapter"
"On Data Persistence Models for Mobile Crowdsensing Applications","Data Analytics and Management in Data Intensive Domains","","","","10.1007/978-3-319-57135-5_14","Dmitry NamiotManfred Sneps-Sneppe","2017","http://link.springer.com/chapter/10.1007/978-3-319-57135-5_14","Chapter"
"A Framework to Support Interoperability in IoT and Facilitate the Development and Deployment of Highly Distributed Cloud Applications","Interoperability, Safety and Security in IoT","","","","10.1007/978-3-319-52727-7_6","Nikos KoutsourisApostolos VoulkidisKostas Tsagkaris","2017","http://link.springer.com/chapter/10.1007/978-3-319-52727-7_6","Chapter"
"Support to the Public Services Mutation Through Continuous Improvement in a French Metropolis","Advances in Production Management Systems. The Path to Intelligent, Collaborative and Sustainable Manufacturing","","","","10.1007/978-3-319-66926-7_26","Gautier AubourgFrançois GalassoBernard GrabotJacques Lamothe","2017","http://link.springer.com/chapter/10.1007/978-3-319-66926-7_26","Chapter"
"Engineering IoT Systems Through Agent Abstractions: Smart Healthcare as a Case Study","Agents and Multi-Agent Systems for Health Care","","","","10.1007/978-3-319-70887-4_2","Eloisa VargiuFranco Zambonelli","2017","http://link.springer.com/chapter/10.1007/978-3-319-70887-4_2","Chapter"
"Benchmarking Distributed Stream Processing Platforms for IoT Applications","Performance Evaluation and Benchmarking. Traditional - Big Data - Internet of Things","","","","10.1007/978-3-319-54334-5_7","Anshu ShuklaYogesh Simmhan","2017","http://link.springer.com/chapter/10.1007/978-3-319-54334-5_7","Chapter"
"On the Road to Secure and Privacy-Preserving IoT Ecosystems","Interoperability and Open-Source Solutions for the Internet of Things","","","","10.1007/978-3-319-56877-5_7","Juan Hernández-SerranoJose L. MuñozArne BröringOscar EsparzaLars MikkelsenWolfgang SchwarzottOlga LeónJan Zibuschka","2017","http://link.springer.com/chapter/10.1007/978-3-319-56877-5_7","Chapter"
"Data Ingestion and Storage Performance of IoT Platforms: Study of OpenIoT","Interoperability and Open-Source Solutions for the Internet of Things","","","","10.1007/978-3-319-56877-5_9","Alexey MedvedevAlireza HassaniArkady ZaslavskyPrem Prakash JayaramanMaria Indrawan-SantiagoPari Delir HaghighiSea Ling","2017","http://link.springer.com/chapter/10.1007/978-3-319-56877-5_9","Chapter"
"En-Eye: A Cooperative Video Fusion Framework for Traffic Safety in Intelligent Transportation Systems","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-65482-9_50","Tianhao WuLin Zhang","2017","http://link.springer.com/chapter/10.1007/978-3-319-65482-9_50","Chapter"
"Securing Data Provenance in Internet of Things (IoT) Systems","Service-Oriented Computing – ICSOC 2016 Workshops","","","","10.1007/978-3-319-68136-8_9","Nathalie BaracaldoLuis Angel D. BathenRoqeeb O. OzughaRobert EngelSamir TataHeiko Ludwig","2017","http://link.springer.com/chapter/10.1007/978-3-319-68136-8_9","Chapter"
"A Middleware Enforcing Location Privacy in Mobile Platform","Trust, Privacy and Security in Digital Business","","","","10.1007/978-3-319-64483-7_3","Asma PatelEsther Palomar","2017","http://link.springer.com/chapter/10.1007/978-3-319-64483-7_3","Chapter"
"Mobile Location-Based Augmented Reality Framework","Environmental Software Systems. Computer Science for Environmental Protection","","","","10.1007/978-3-319-89935-0_39","Simon BurkardFrank Fuchs-KittowskiSebastian HimbergerFabian FischerStefan Pfennigschmidt","2017","http://link.springer.com/chapter/10.1007/978-3-319-89935-0_39","Chapter"
"Flaw Recovery in Cloud Based Bio-inspired Peer-to-Peer Systems for Smart Cities","Green, Pervasive, and Cloud Computing","","","","10.1007/978-3-319-57186-7_26","Bogdan MocanuFlorin PopAlexandra Mihaita (Mocanu)Ciprian DobreValentin CristeaAniello Castiglione","2017","http://link.springer.com/chapter/10.1007/978-3-319-57186-7_26","Chapter"
"Stalking Resilience","Information Technology in Disaster Risk Reduction","","","","10.1007/978-3-319-68486-4_4","Jose J. GonzalezMagnus BångColin EdenRaquel GimenezJosune HernantesSusan HowickPatricia MarañaIgor PyrkoJaziar RadiantiAmy RankinJose Mari Sarriegi","2017","http://link.springer.com/chapter/10.1007/978-3-319-68486-4_4","Chapter"
"Shortfall-Based Optimal Placement of Security Resources for Mobile IoT Scenarios","Computer Security – ESORICS 2017","","","","10.1007/978-3-319-66399-9_23","Antonino RulloEdoardo SerraElisa BertinoJorge Lobo","2017","http://link.springer.com/chapter/10.1007/978-3-319-66399-9_23","Chapter"
"A Survey on Bus Monitoring Systems","Computational Science and Its Applications – ICCSA 2017","","","","10.1007/978-3-319-62404-4_17","Jessica CastroIury AraujoEudisley AnjosFernando Matos","2017","http://link.springer.com/chapter/10.1007/978-3-319-62404-4_17","Chapter"
"Multi-cloud Applications Security Monitoring","Green, Pervasive, and Cloud Computing","","","","10.1007/978-3-319-57186-7_54","Pamela CarvalloAna R. CavalliWissam MallouliErkuden Rios","2017","http://link.springer.com/chapter/10.1007/978-3-319-57186-7_54","Chapter"
"Boot Attestation: Secure Remote Reporting with Off-The-Shelf IoT Sensors","Computer Security – ESORICS 2017","","","","10.1007/978-3-319-66399-9_24","Steffen SchulzAndré SchallerFlorian KohnhäuserStefan Katzenbeisser","2017","http://link.springer.com/chapter/10.1007/978-3-319-66399-9_24","Chapter"
"F-Interop – Online Platform of Interoperability and Performance Tests for the Internet of Things","Interoperability, Safety and Security in IoT","","","","10.1007/978-3-319-52727-7_7","Sébastien ZieglerSerge FdidaCesar VihoThomas Watteyne","2017","http://link.springer.com/chapter/10.1007/978-3-319-52727-7_7","Chapter"
"Public Staff Empowerment in e-Government: A Human Work Interaction Design Approach","End-User Development","","","","10.1007/978-3-319-58735-6_9","Stefano ValtolinaBarbara Rita BarricelliDaniela FogliSergio ColosioChiara Testa","2017","http://link.springer.com/chapter/10.1007/978-3-319-58735-6_9","Chapter"
"A Mobile Context-Aware Information System to Support Tourism Events","Green, Pervasive, and Cloud Computing","","","","10.1007/978-3-319-57186-7_40","Fabio ClariziaSaverio LemmaMarco LombardiFrancesco Pascale","2017","http://link.springer.com/chapter/10.1007/978-3-319-57186-7_40","Chapter"
"ProLoD: An Efficient Framework for Processing Logistics Data","On the Move to Meaningful Internet Systems. OTM 2017 Conferences","","","","10.1007/978-3-319-69462-7_44","Mohammad AlShaerYehia TaherRafiqul HaqueMohand-Saïd HacidMohamed Dbouk","2017","http://link.springer.com/chapter/10.1007/978-3-319-69462-7_44","Chapter"
"Distributed Simulation of Complex and Scalable Systems: From Models to the Cloud","Economics of Grids, Clouds, Systems, and Services","","","","10.1007/978-3-319-61920-0_22","Victor MedelUnai ArronateguiJosé Ángel BañaresJosé-Manuel Colom","2017","http://link.springer.com/chapter/10.1007/978-3-319-61920-0_22","Chapter"
"Towards European Dimensions of City Resilience","Information Technology in Disaster Risk Reduction","","","","10.1007/978-3-319-68486-4_9","Jaziar Radianti","2017","http://link.springer.com/chapter/10.1007/978-3-319-68486-4_9","Chapter"
"Trust-ABAC Towards an Access Control System for the Internet of Things","Green, Pervasive, and Cloud Computing","","","","10.1007/978-3-319-57186-7_7","Hamdi OuechtatiNadia Ben Azzouna","2017","http://link.springer.com/chapter/10.1007/978-3-319-57186-7_7","Chapter"
"Designing Information Marketplaces for Disaster Management","Electronic Government","","","","10.1007/978-3-319-64677-0_1","Ralf KlischewskiYomn Elmistikawy","2017","http://link.springer.com/chapter/10.1007/978-3-319-64677-0_1","Chapter"
"Research and Application of Service Design Thoughts in Subway Advertisement Design","Cross-Cultural Design","","","","10.1007/978-3-319-57931-3_11","Xing FangYangshuo ZhengHeng LiuYongzhen ZouXiaoqin Cao","2017","http://link.springer.com/chapter/10.1007/978-3-319-57931-3_11","Chapter"
"Application of Batch and Stream Collaborative Computing in Urban Traffic Data Processing","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-319-65482-9_58","Tao ZhangShuai Zhao","2017","http://link.springer.com/chapter/10.1007/978-3-319-65482-9_58","Chapter"
